SOA1;SOA2;StimTargetID;StimPair1Bg;StimPair1Target;StimPair2Bg;StimPair2Target;Ring;TargetLuminance;BgLuminance;TargetSelected;TOJ1Correct;TOJ2Correct;Tutorial;InAsteroidField;PresentationSpeed;RingPassSpeed;StationCount;PresentationTurbo;RingPassTurbo;StationExploded;GameTime
0;0.1;2;1;3;0;2;3;0.87843;0.3451;true;false;false;false;false;3999.92944;3999.92944;126;false;false;false;607.5332
0.1;0.1;1;3;1;2;0;0;0.47059;0.3451;false;true;false;false;false;4080.19507;3999.92944;127;false;false;false;611.1413
-0.1;-0.1;2;0;2;3;1;2;0.59608;0.3451;true;true;true;false;false;3999.92944;3999.92944;128;false;false;false;614.87097
0;-0.05;2;0;2;3;1;0;0.87843;0.3451;false;true;false;false;false;3999.92944;3999.92944;129;false;false;false;618.61462
-0.05;0.1;0;1;3;2;0;3;0.87843;0.3451;false;true;true;false;false;3999.92944;3999.92944;130;false;false;false;622.35608
0;0.05;0;1;3;2;0;1;0.47059;0.3451;true;true;false;false;false;3999.92944;3999.92944;131;false;false;false;626.09052
-0.05;-0.1;3;1;3;0;2;3;0.47059;0.3451;true;true;true;false;false;3999.92944;3999.92944;132;false;false;false;629.81921
-0.05;0.05;1;3;1;0;2;1;0.3451;0.3451;true;true;true;false;false;3999.92944;3999.92944;133;false;false;false;633.56134
0.1;0.1;2;1;3;0;2;1;0.3451;0.3451;false;true;true;false;false;3999.92944;3999.92944;134;false;false;false;637.29669
-0.05;0.1;3;0;2;1;3;0;0.3451;0.3451;true;false;false;false;false;3999.92944;3999.92944;135;false;false;false;641.03986
-0.05;0.1;3;1;3;2;0;3;0.59608;0.3451;true;true;true;false;false;3999.92944;3999.92944;136;false;false;false;644.77393
0;-0.1;3;1;3;2;0;3;0.3451;0.3451;true;false;false;false;false;3999.92944;4016.42896;137;false;true;false;648.47266
-0.1;-0.05;2;0;2;1;3;2;0.3451;0.3451;true;true;false;false;false;3999.92944;5500;138;false;true;false;651.74487
0.05;0.05;0;3;1;2;0;3;0.87843;0.3451;false;true;true;false;false;4046.59058;5483.26807;139;false;false;false;655.00897
0;0.05;2;0;2;1;3;0;0.3451;0.3451;false;true;false;false;false;3999.92944;5500;140;false;true;false;658.26825
0.05;-0.1;3;2;0;1;3;2;0.47059;0.3451;false;true;false;false;true;3999.92944;5279.98242;143;false;false;false;661.55054
-0.05;-0.1;2;1;3;0;2;1;0.59608;0.3451;false;false;false;false;true;3999.92944;5386.26465;143;false;false;false;664.91608
0.1;0.1;3;0;2;1;3;1;0.59608;0.3451;false;true;true;false;false;3999.92944;3999.92944;143;false;false;false;674.57538
0;0;1;0;2;3;1;1;0.59608;0.3451;true;true;false;false;false;3999.92944;5338.46729;144;false;false;false;677.96356
0;0.05;3;1;3;0;2;2;0.59608;0.3451;false;true;false;false;false;3999.92944;5500;145;false;true;false;681.27203
0;-0.1;2;3;1;0;2;3;0.3451;0.3451;true;true;true;false;false;3999.92944;5500;146;false;true;false;684.49579
0.1;0.05;1;3;1;0;2;1;0.47059;0.3451;true;false;true;false;false;4003.39014;5500;147;false;true;false;687.61768
0;0.1;1;2;0;3;1;3;0.47059;0.3451;false;true;true;false;false;4308.75977;5500;148;false;true;false;690.7229
0.1;0.05;2;0;2;1;3;3;0.87843;0.3451;true;false;false;false;false;4375.56055;5500;149;false;true;false;693.78198
0.1;-0.1;3;2;0;1;3;0;0.59608;0.3451;true;false;true;false;false;3999.92944;5500;150;false;true;false;696.97504
0.1;-0.05;1;3;1;0;2;3;0.47059;0.3451;false;true;true;false;false;4768.6123;5500;151;false;true;false;699.99487
-0.05;0.05;3;2;0;1;3;2;0.47059;0.3451;false;false;true;false;false;4213.12891;5500;152;false;true;false;703.12848
0;-0.1;2;0;2;1;3;0;0.59608;0.3451;false;true;true;false;false;4093.72046;3999.92944;153;false;true;false;706.66144
0.1;0.05;0;3;1;2;0;3;0.87843;0.3451;false;true;true;false;false;3999.92944;3999.92944;154;false;true;false;710.32135
-0.1;0.1;2;0;2;1;3;2;0.87843;0.3451;true;true;true;false;false;3999.92944;3999.92944;155;false;true;false;714.01654
0.1;0;2;3;1;0;2;3;0.59608;0.3451;true;true;false;false;false;3999.92944;3999.92944;156;false;true;false;717.65765
-0.05;-0.1;2;0;2;3;1;2;0.87843;0.3451;true;true;true;false;false;3999.92944;4785.82471;157;false;true;false;721.06989
0;0.1;0;2;0;3;1;2;0.47059;0.3451;false;true;false;false;false;4057.09009;3999.92944;158;false;true;false;724.5235
-0.1;0.05;0;2;0;3;1;3;0.59608;0.3451;false;false;true;false;false;3999.92944;3999.92944;159;false;true;false;728.25293
0.05;-0.05;3;1;3;2;0;2;0.59608;0.3451;false;true;false;false;false;3999.92944;3999.92944;160;false;false;false;731.90662
0.05;0.05;2;0;2;1;3;3;0.3451;0.3451;true;false;false;false;true;3999.92944;3999.92944;163;false;true;false;735.51044
-0.05;0;2;0;2;3;1;2;0.59608;0.3451;true;true;false;false;true;3999.92944;3999.92944;163;false;false;false;739.22797
-0.1;0.1;0;2;0;3;1;2;0.3451;0.3451;false;false;false;false;false;3999.92944;3999.92944;163;false;false;false;748.57825
-0.1;0.1;0;3;1;2;0;2;0.59608;0.3451;false;true;true;false;false;3999.92944;3999.92944;164;false;false;false;752.32294
0;0;0;2;0;3;1;2;0.87843;0.3451;false;true;false;false;false;3999.92944;4352.8501;165;false;false;false;755.85248
-0.1;0.05;2;0;2;3;1;2;0.3451;0.3451;true;true;false;false;false;3999.92944;3999.92944;166;false;false;false;759.58057
-0.1;0;0;1;3;2;0;3;0.47059;0.3451;false;true;true;false;false;3999.92944;4362.49121;167;false;true;false;763.23389
0.1;0;0;2;0;3;1;2;0.3451;0.3451;false;true;false;false;false;3999.92944;3999.92944;168;false;false;false;766.90149
-0.1;-0.05;3;0;2;1;3;3;0.59608;0.3451;true;true;true;false;false;4847.42334;5500;169;false;true;false;770.16119
-0.05;-0.05;1;0;2;3;1;2;0.59608;0.3451;true;true;true;false;false;3999.92944;5500;170;false;true;false;773.42902
0.05;0;0;2;0;1;3;0;0.59608;0.3451;true;false;false;false;false;3999.92944;5500;171;false;true;false;776.67334
-0.1;0.05;2;3;1;0;2;1;0.47059;0.3451;false;true;true;false;false;4146.07373;5500;172;false;true;false;779.83588
0.05;-0.05;1;3;1;0;2;2;0.3451;0.3451;true;false;true;false;false;4175.70654;4200.96289;173;false;true;false;783.19794
0.1;0;0;2;0;3;1;2;0.59608;0.3451;false;true;false;false;false;3999.92944;3999.92944;174;false;true;false;786.86285
0;-0.1;2;3;1;0;2;3;0.87843;0.3451;true;true;true;false;false;4312.27588;3999.92944;175;false;true;false;790.44647
0;-0.05;1;3;1;2;0;3;0.59608;0.3451;false;true;false;false;false;3999.92944;4665.79688;176;false;true;false;793.83008
0.1;0.05;1;2;0;3;1;2;0.59608;0.3451;true;true;false;false;false;3999.92944;3999.92944;177;false;true;false;797.46735
-0.1;-0.1;3;0;2;1;3;3;0.47059;0.3451;true;true;true;false;false;3999.92944;3999.92944;178;false;false;false;801.07385
0.05;0;0;2;0;1;3;3;0.3451;0.3451;false;true;false;false;false;4487.73096;3999.92944;179;false;false;false;804.6145
0.05;-0.05;0;1;3;2;0;0;0.59608;0.3451;true;false;true;false;false;4581.31787;3999.92944;180;false;true;false;808.15906
0.05;-0.1;1;3;1;2;0;3;0.59608;0.3451;false;true;false;false;true;3999.92944;3999.92944;183;false;true;false;811.81885
0;-0.1;0;2;0;3;1;1;0.87843;0.3451;true;false;true;false;true;3999.92944;3999.92944;183;false;true;false;815.46875
0.1;-0.05;0;2;0;3;1;2;0.59608;0.3451;false;true;true;false;false;3999.92944;3999.92944;183;false;false;false;825.065
0;0;3;1;3;0;2;3;0.47059;0.3451;true;false;false;false;false;4163.7124;3999.92944;184;false;false;false;828.61597
-0.05;-0.05;0;1;3;2;0;0;0.87843;0.3451;true;true;true;false;false;3999.92944;5137.34033;185;false;true;false;831.97711
0.05;0.1;1;3;1;0;2;0;0.47059;0.3451;false;true;true;false;false;3999.92944;4740.18115;186;false;true;false;835.30627
0.05;0.1;3;1;3;2;0;1;0.3451;0.3451;false;true;false;false;false;3999.92944;4198.52246;187;false;true;false;838.72937
0.1;0.05;0;2;0;3;1;3;0.3451;0.3451;false;true;true;false;false;3999.92944;3999.92944;188;false;false;false;842.40686
-0.05;0;1;3;1;2;0;2;0.87843;0.3451;true;true;true;false;false;3999.92944;5124.56787;189;false;true;false;845.7431
0.05;-0.05;2;0;2;3;1;0;0.87843;0.3451;false;true;false;false;false;3999.92944;3999.92944;190;false;true;false;849.31818
0;-0.05;2;0;2;1;3;1;0.47059;0.3451;false;true;false;false;false;3999.92944;3999.92944;191;false;true;false;853.0014
-0.05;-0.05;1;3;1;0;2;3;0.3451;0.3451;false;false;true;false;false;3999.92944;3999.92944;192;false;true;false;856.63171
-0.1;0.05;2;3;1;0;2;1;0.3451;0.3451;false;true;true;false;false;3999.92944;3999.92944;193;false;false;false;860.24231
0;-0.05;1;2;0;3;1;2;0.47059;0.3451;true;true;true;false;false;3999.92944;5027.24756;194;false;false;false;863.60968
0;0;2;0;2;3;1;0;0.3451;0.3451;false;true;true;false;false;3999.92944;5058.60303;195;false;true;false;866.92059
0.1;0;2;1;3;0;2;2;0.87843;0.3451;true;true;false;false;false;3999.92944;4484.09814;196;false;true;false;870.29926
-0.1;0;3;1;3;2;0;3;0.47059;0.3451;true;true;true;false;false;3999.92944;4709.60059;197;false;true;false;873.65125
-0.1;-0.1;2;0;2;1;3;3;0.87843;0.3451;true;true;true;false;false;3999.92944;4556.30664;198;false;true;false;877.03455
-0.1;0.05;0;2;0;1;3;0;0.87843;0.3451;true;true;false;false;false;3999.92944;4069.46826;199;false;true;false;880.487
-0.1;0.1;1;2;0;3;1;0;0.3451;0.3451;false;true;true;false;false;3999.92944;3999.92944;200;false;false;false;884.12067
-0.05;0.05;1;3;1;2;0;3;0.87843;0.3451;false;false;true;false;true;3999.92944;5282.64307;203;false;true;false;887.49182
0.1;0.1;1;3;1;2;0;3;0.87843;0.3451;false;true;true;false;true;3999.92944;3999.92944;203;false;true;false;891.05725
0.1;-0.1;3;0;2;1;3;0;0.47059;0.3451;true;true;true;false;false;3999.92944;3999.92944;203;false;false;false;900.5213
-0.1;0.1;0;2;0;3;1;0;0.87843;0.3451;true;true;true;false;false;3999.92944;3999.92944;204;false;false;false;904.07703
